Individual ID	Coverage	Purity	Mutation Type	Original Events	Events 100X	Sensitivity 100X	Events 80X	Sensitivity 80X	Events 60X	Sensitivity 60X	Events 30X	Sensitivity 30X
IID_H159446	122	0.93812	SVs	79	77.0	0.9746835443037974	73	0.9240506329113924	68	0.8607594936708861	70	0.8860759493670886
IID_H195916	91	0.40467	SNVs	2675			2618	0.9786915887850467	2513	0.9394392523364486	2288	0.8553271028037384
IID_H195916	91	0.40467	Indels	1069			1005	0.9401309635173059	943	0.882132834424696	791	0.7399438727782974
IID_H195916	91	0.40467	SVs	67			66	0.9850746268656716	63	0.9402985074626866	51	0.7611940298507462
IID_H195918	93	0.664173884372606	SNVs	843			712	0.8446026097271648	547	0.6488730723606169	334	0.3962040332147094
IID_H195918	93	0.664173884372606	Indels	53			47	0.8867924528301887	42	0.7924528301886793	28	0.5283018867924528
IID_H195918	93	0.664173884372606	SVs	1			1	1.0	0	0.0	0	0.0
IID_H195921	91	0.5782	SNVs	3711			3611	0.9730530854217192	3474	0.9361358124494745	3273	0.8819725141471302
IID_H195921	91	0.5782	Indels	651			626	0.9615975422427036	600	0.9216589861751152	524	0.804915514592934
IID_H195921	91	0.5782	SVs	385			378	0.9818181818181818	369	0.9584415584415584	314	0.8155844155844156
IID_H195922	91	0.89582	SNVs	32471			32145	0.9899602722429245	31633	0.9741923562563518	30758	0.9472452342089864
IID_H195922	91	0.89582	Indels	2127			2079	0.9774330042313117	2024	0.9515749882463563	1902	0.8942172073342737
